participant_name,participant_number,Vecums,Dzimums,stimulus_1_time,stimulus_1_no_target,stimulus_2_time,stimulus_2_no_target,stimulus_3_time,stimulus_3_no_target,stimulus_4_time,stimulus_4_no_target,stimulus_5_time,stimulus_5_no_target,stimulus_6_time,stimulus_6_no_target,stimulus_7_time,stimulus_7_no_target,stimulus_8_time,stimulus_8_no_target,stimulus_9_time,stimulus_9_no_target,stimulus_10_time,stimulus_10_no_target,stimulus_11_time,stimulus_11_no_target,stimulus_12_time,stimulus_12_no_target,stimulus_13_time,stimulus_13_no_target,stimulus_14_time,stimulus_14_no_target,stimulus_15_time,stimulus_15_no_target,stimulus_16_time,stimulus_16_no_target,stimulus_17_time,stimulus_17_no_target,stimulus_18_time,stimulus_18_no_target,stimulus_19_time,stimulus_19_no_target,stimulus_20_time,stimulus_20_no_target
Participant,1,23,Virietis,2.9811878,FALSE,20.006099,TRUE,3.0902974,FALSE,1.0403327,FALSE,1.6124197,FALSE,6.3965374,FALSE,1.828735,FALSE,20.0017876,FALSE,20.0059754,TRUE,2.7462582,FALSE,2.3212765,FALSE,1.3363862,FALSE,20.0110092,TRUE,1.7059802,FALSE,1.6290143,FALSE,20.0004705,TRUE,3.8158806,FALSE,4.0040424,FALSE,0.9514371,FALSE,4.9506927,FALSE
Participant,2,22,Virietis,1.837027,FALSE,20.0018126,TRUE,1.3828707,FALSE,2.013753,FALSE,1.5065528,FALSE,20.001025,FALSE,1.196577,FALSE,11.9229348,FALSE,20.001018,TRUE,1.4477474,FALSE,5.3165105,FALSE,1.7888749,FALSE,20.0130351,TRUE,2.5067939,FALSE,1.8348396,FALSE,20.008639,TRUE,2.1473576,FALSE,2.027808,FALSE,0.6113756,FALSE,7.4694927,FALSE
Participant,3,24,Virietis,0.990021,FALSE,20.0025547,TRUE,2.5779835,FALSE,1.0665856,FALSE,1.2481904,FALSE,2.831544,FALSE,0.5392203,FALSE,2.9195499,FALSE,20.0033358,TRUE,1.4201454,FALSE,0.9784309,FALSE,1.464179,FALSE,20.0136311,TRUE,1.1974328,FALSE,1.0039857,FALSE,20.0077337,TRUE,1.1830345,FALSE,0.5497945,FALSE,0.8677849,FALSE,1.3777904,FALSE
Participant,4,56,Sieviete,2.6742739,FALSE,20.0118608,TRUE,2.4779618,FALSE,1.5267703,FALSE,1.103647,FALSE,1.1061497,FALSE,0.9106537,FALSE,2.0717082,FALSE,20.0031625,TRUE,3.2545585,FALSE,3.1869183,FALSE,1.9852208,FALSE,20.0138985,TRUE,1.791923,FALSE,1.8243857,FALSE,20.0132949,TRUE,1.9580182,FALSE,1.1891341,FALSE,2.307419,FALSE,1.0328934,FALSE
Participant,5,24,Virietis,0.6801929,FALSE,20.007209,TRUE,2.0245283,FALSE,0.8504894,FALSE,0.8664478,FALSE,4.7351125,FALSE,0.8807456,FALSE,1.6127559,FALSE,20.0069549,TRUE,1.5871255,FALSE,1.6223305,FALSE,2.6406684,FALSE,20.009266,TRUE,1.0040198,FALSE,2.7512903,FALSE,20.0123787,TRUE,3.0442838,FALSE,2.4543578,FALSE,0.8714839,FALSE,6.4131138,FALSE
Participant,6,25,Sieviete,0.8287121,FALSE,20.0002186,TRUE,1.6455435,FALSE,1.7822872,FALSE,0.7511833,FALSE,2.4966733,FALSE,0.7232737,FALSE,1.9748924,FALSE,20.010214,TRUE,1.4615161,FALSE,0.6339044,FALSE,1.0787111,FALSE,20.0070854,TRUE,8.8188253,FALSE,1.7453522,FALSE,20.013253,TRUE,2.5745369,FALSE,0.8059719,FALSE,0.8863604,FALSE,0.8522711,FALSE
Participant,7,44,Sieviete,1.4870184,FALSE,20.0024722,TRUE,2.1381086,FALSE,2.6744709,FALSE,1.8386657,FALSE,3.0409135,FALSE,1.5666108,FALSE,5.4925493,FALSE,20.0000679,TRUE,3.5390815,FALSE,1.7466509,FALSE,1.737701,FALSE,20.0071654,TRUE,2.09552,FALSE,1.0969091,FALSE,20.0036985,TRUE,3.0252659,FALSE,1.1844355,FALSE,0.814491,FALSE,1.9432402,FALSE
Participant,8,54,Virietis,5.2239622,FALSE,20.0090664,TRUE,1.3504538,FALSE,1.4319742,FALSE,0.9320999,FALSE,3.3357241,FALSE,0.6451109,FALSE,3.1774582,FALSE,20.0124094,TRUE,2.5191542,FALSE,1.3114591,FALSE,5.224018,FALSE,20.0045433,TRUE,2.532271,FALSE,1.2056604,FALSE,20.0149963,TRUE,3.0057639,FALSE,1.2723433,FALSE,0.7585566,FALSE,1.8362291,FALSE
Participant,9,23,Virietis,2.0249739,FALSE,20.0071389,TRUE,2.1808419,FALSE,1.4304716,FALSE,2.8390593,FALSE,0.9404858,FALSE,0.9564279,FALSE,2.5413111,FALSE,20.0087013,TRUE,0.6258432,FALSE,1.2114503,FALSE,2.3250995,FALSE,20.0000058,TRUE,1.2426916,FALSE,1.1348621,FALSE,20.0001074,TRUE,1.0982264,FALSE,0.6002267,FALSE,0.6436399,FALSE,0.8181543,FALSE
Participant,10,24,Virietis,0.8526299,FALSE,20.0017524,TRUE,1.4638013,FALSE,1.7937047,FALSE,1.1214126,FALSE,13.3327552,FALSE,1.0055275,FALSE,4.4843222,FALSE,20.0055357,TRUE,1.6867528,FALSE,1.4833694,FALSE,0.884929,FALSE,20.0078591,TRUE,0.8551808,FALSE,1.1747844,FALSE,20.0016284,TRUE,3.4470249,FALSE,0.8815512,FALSE,1.7548421,FALSE,1.0270616,FALSE
Participant,11,23,Virietis,2.1228576,FALSE,20.0050804,TRUE,0.9579611,FALSE,0.9858193,FALSE,4.3086463,FALSE,1.8345192,FALSE,1.0111164,FALSE,0.7261226,FALSE,20.0137532,TRUE,1.3047126,FALSE,3.2071425,FALSE,2.9524002,FALSE,20.0078418,TRUE,0.9982773,FALSE,1.2184268,FALSE,20.0097379,TRUE,2.0803207,FALSE,0.8634277,FALSE,0.6351379,FALSE,3.1620872,FALSE
Participant,12,56,Sieviete,3.7015654,FALSE,20.004393,TRUE,1.4593768,FALSE,1.4967299,FALSE,2.9814275,FALSE,7.4296051,FALSE,0.8538843,FALSE,1.8906558,FALSE,20.0048782,TRUE,2.4480533,FALSE,4.0300462,FALSE,2.2472406,FALSE,20.0063317,TRUE,8.6367955,FALSE,3.2752903,FALSE,20.0146421,TRUE,3.1277468,FALSE,1.1628055,FALSE,1.2665131,FALSE,4.0078636,FALSE
Participant,13,60,Virietis,1.9704244,FALSE,20.0091431,TRUE,1.3728211,FALSE,0.7816615,FALSE,0.9522551,FALSE,3.0066967,FALSE,1.8234517,FALSE,1.4673331,FALSE,20.0131072,TRUE,1.2986581,FALSE,3.8682551,FALSE,2.2522414,FALSE,20.0096741,TRUE,20.0097648,FALSE,13.5878706,FALSE,20.0133838,TRUE,20.0057893,FALSE,0.9797172,FALSE,3.7784266,FALSE,2.4686686,FALSE
Participant,14,24,Virietis,1.7201689,FALSE,20.0073153,TRUE,1.8984968,FALSE,0.8764984,FALSE,1.3199795,FALSE,2.1674037,FALSE,1.2284686,FALSE,1.5683006,FALSE,20.0110978,TRUE,1.9112536,FALSE,1.3356325,FALSE,1.6866985,FALSE,20.0046285,TRUE,3.3351331,FALSE,1.4034068,FALSE,20.0148201,TRUE,1.1480211,FALSE,1.7834798,FALSE,1.2098128,FALSE,1.6933844,FALSE
Participant,15,23,Sieviete,1.6960451,FALSE,20.007245,TRUE,1.975894,FALSE,0.9955982,FALSE,0.7062869,FALSE,1.4819477,FALSE,0.5747734,FALSE,1.7466822,FALSE,20.0069576,TRUE,0.7800066,FALSE,1.3985673,FALSE,1.1781567,FALSE,20.0084864,TRUE,1.3420539,FALSE,0.984384,FALSE,20.0044261,TRUE,2.834631,FALSE,2.2243219,FALSE,0.7470266,FALSE,0.6871951,FALSE
Participant,16,24,Sieviete,1.1044292,FALSE,20.015901,TRUE,1.0496022,FALSE,1.890933,FALSE,1.2776063,FALSE,2.5169856,FALSE,0.9053091,FALSE,1.3441814,FALSE,20.0105268,TRUE,1.4251036,FALSE,0.8566493,FALSE,1.5291324,FALSE,20.0064271,TRUE,2.2829276,FALSE,1.0335954,FALSE,20.007937,TRUE,2.9045667,FALSE,0.8591665,FALSE,0.9740235,FALSE,0.9643853,FALSE
Participant,17,20,Cits,0.8445971,FALSE,20.0022794,TRUE,1.0151461,FALSE,5.0728265,FALSE,0.9590732,FALSE,1.4466498,FALSE,0.5503653,FALSE,1.2142659,FALSE,20.0130824,TRUE,0.8493097,FALSE,2.4826916,FALSE,8.3650133,FALSE,20.0103555,TRUE,2.6230328,FALSE,1.276504,FALSE,20.0069188,TRUE,10.4252188,FALSE,1.1843278,FALSE,0.4839742,FALSE,1.5852719,FALSE
Participant,18,34,Virietis,2.2325963,FALSE,20.0133623,TRUE,0.9400825,FALSE,0.9295654,FALSE,1.5785246,FALSE,0.7415166,FALSE,0.8629316,FALSE,6.1712261,FALSE,20.013552,TRUE,2.8907838,FALSE,2.871998,FALSE,1.1771789,FALSE,20.007346,TRUE,3.7734177,FALSE,2.3586165,FALSE,20.0030628,TRUE,1.1209694,FALSE,0.9783,FALSE,1.4897289,FALSE,2.0275656,FALSE
Participant,19,24,Virietis,0.9546068,FALSE,20.0013919,TRUE,1.0432688,FALSE,1.980933,FALSE,2.9920622,FALSE,10.8340392,FALSE,0.987717,FALSE,1.5736964,FALSE,19.9997999,TRUE,1.6240399,FALSE,1.1039572,FALSE,2.3925557,FALSE,20.0069792,TRUE,1.0783064,FALSE,2.1921249,FALSE,20.0000459,TRUE,0.6402652,FALSE,2.5457522,FALSE,0.973392,FALSE,1.5170501,FALSE
Participant,20,50,Sieviete,1.5191832,FALSE,20.0103562,TRUE,1.7537504,FALSE,2.0202019,FALSE,0.7816885,FALSE,1.0729909,FALSE,0.6466263,FALSE,5.3486381,FALSE,20.0077629,TRUE,3.5140817,FALSE,1.4666266,FALSE,1.2844504,FALSE,20.0015546,TRUE,2.79433,FALSE,2.1677254,FALSE,20.002996,TRUE,1.1249947,FALSE,1.205253,FALSE,1.3766426,FALSE,4.3504522,FALSE
Participant,21,50,Sieviete,1.9297833,FALSE,19.1092055,TRUE,6.2755999,FALSE,1.6626624,FALSE,1.3405748,FALSE,2.1822795,FALSE,0.7597611,FALSE,7.4985555,FALSE,20.0026089,TRUE,6.3069991,FALSE,1.2192599,FALSE,4.6577095,FALSE,20.002116,TRUE,19.9998935,FALSE,20.0088764,FALSE,20.0005498,TRUE,4.1994602,FALSE,1.9585425,FALSE,0.980729,FALSE,1.7341263,FALSE
Participant,22,52,Virietis,2.702132,FALSE,20.005246,TRUE,7.5036636,FALSE,4.813532,FALSE,3.1315791,FALSE,4.9917636,FALSE,1.432239,FALSE,7.00627,FALSE,20.0119118,TRUE,6.2210822,FALSE,4.3090001,FALSE,7.7541009,FALSE,20.0058965,TRUE,5.6169818,FALSE,1.5393621,FALSE,20.0049002,TRUE,4.5389333,FALSE,3.7292307,FALSE,2.7117381,FALSE,8.7853898,FALSE
Participant,23,23,Virietis,3.763121,FALSE,20.0174387,TRUE,0.8401196,FALSE,0.7098744,FALSE,0.8955783,FALSE,20.0002272,FALSE,2.6324852,FALSE,1.3125409,FALSE,20.0123859,TRUE,1.4376218,FALSE,0.9696312,FALSE,2.4425861,FALSE,20.0231045,TRUE,11.0814381,FALSE,0.8143697,FALSE,20.0019119,TRUE,0.7320725,FALSE,1.1696941,FALSE,1.0206444,FALSE,1.5240111,FALSE
Participant,24,16,Virietis,1.0199158,FALSE,20.0128257,TRUE,2.2688636,FALSE,1.9033499,FALSE,3.8180294,FALSE,1.7851741,FALSE,0.5848258,FALSE,0.9090112,FALSE,20.0057398,TRUE,0.9890409,FALSE,0.7751721,FALSE,0.9338396,FALSE,20.0046537,TRUE,1.5572189,FALSE,1.3923474,FALSE,20.0048338,TRUE,0.7323952,FALSE,1.0342316,FALSE,1.630025,FALSE,0.9706316,FALSE
Participant,25,24,Sieviete,2.0602167,FALSE,20.0054748,TRUE,2.8732189,FALSE,0.9378645,FALSE,1.2057866,FALSE,1.2771652,FALSE,0.6560054,FALSE,1.3632946,FALSE,20.0062963,TRUE,0.9844837,FALSE,1.1735701,FALSE,0.9512677,FALSE,20.0128983,TRUE,1.3794892,FALSE,1.6120193,FALSE,20.0115371,TRUE,2.0517653,FALSE,20.0102797,FALSE,1.5953097,FALSE,1.9068823,FALSE
